    x-direction              y-direction               z-direction
   3.1086244689504386E-017   1.1213252548714081E-016   2.6645352591003756E-017
  -5.5511151231257828E-019  -6.4392935428259075E-017   1.3322676295501878E-017
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018  -4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018  -4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019   2.5535129566378602E-017  -4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018  -4.4408920985006263E-018
  -5.5511151231257828E-019   2.5535129566378602E-017   4.4408920985006263E-018
  -5.5511151231257828E-019  -9.9920072216264085E-018  -4.4408920985006263E-018
  -1.3877787807814457E-017   2.2204460492503131E-018   2.8865798640254071E-017
   4.4408920985006263E-018  -6.6613381477509390E-018  -2.2204460492503132E-017
   2.7755575615628915E-018   3.3306690738754695E-018   1.1102230246251566E-017
  -3.3306690738754695E-018   3.3306690738754695E-018  -8.8817841970012525E-018
   3.3306690738754695E-018  -3.3306690738754695E-018  -1.1102230246251566E-017
  -8.3266726846886737E-018  -3.3306690738754695E-017  -8.8817841970012525E-018
  -8.3266726846886737E-018   1.9984014443252817E-017  -8.8817841970012525E-018
  -8.3266726846886737E-018   1.9984014443252817E-017  -8.8817841970012525E-018
  -8.3266726846886737E-018  -3.3306690738754695E-017  -8.8817841970012525E-018
  -8.3266726846886737E-018   2.1094237467877975E-017  -8.8817841970012525E-018
   9.4368957093138313E-018   3.3306690738754695E-018  -8.8817841970012525E-018
  -8.3266726846886737E-018   3.3306690738754695E-018  -8.8817841970012525E-018
   9.4368957093138313E-018   3.3306690738754695E-018  -4.4408920985006263E-018
  -8.3266726846886737E-018   3.3306690738754695E-018   4.4408920985006263E-018
   9.4368957093138313E-018   3.3306690738754695E-018  -4.4408920985006263E-018
   1.6098233857064769E-017  -2.2204460492503131E-018   6.6613381477509390E-018
  -3.8857805861880483E-018   6.6613381477509390E-018   6.6613381477509390E-018
   1.7208456881689926E-017   6.6613381477509390E-018   1.1102230246251566E-017
   1.7208456881689926E-017   6.6613381477509390E-018   1.1102230246251566E-017
   8.3266726846886737E-018   6.6613381477509390E-018   2.2204460492503131E-018
   8.3266726846886737E-018   6.6613381477509390E-018   2.2204460492503131E-018
   8.3266726846886737E-018   6.6613381477509390E-018   2.2204460492503131E-018
   8.3266726846886737E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018  -1.1102230246251566E-017   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018  -1.1102230246251566E-017   2.2204460492503131E-018
  -4.9960036108132042E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018  -1.1102230246251566E-017   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018  -1.1102230246251566E-017   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018  -1.1102230246251566E-017   2.2204460492503131E-018
   3.8857805861880483E-018   6.6613381477509390E-018   2.2204460492503131E-018
  -4.9960036108132042E-018  -1.1102230246251566E-017   2.2204460492503131E-018
  -2.3314683517128286E-017   3.8857805861880476E-017   0.0000000000000000     
  -3.2751579226442116E-017   1.1102230246251566E-018   0.0000000000000000     
   1.1102230246251566E-017   1.6653345369377347E-017   1.7763568394002505E-017
   1.1102230246251566E-017   1.6653345369377347E-017   8.8817841970012525E-018
   1.1102230246251566E-017   1.6653345369377347E-017   8.8817841970012525E-018
   1.1102230246251566E-017   1.6653345369377347E-017   8.8817841970012525E-018
   2.2204460492503131E-018  -1.1102230246251566E-018   8.8817841970012525E-018
   2.2204460492503131E-018  -1.1102230246251566E-018   8.8817841970012525E-018
   2.2204460492503131E-018  -1.1102230246251566E-018   8.8817841970012525E-018
   2.2204460492503131E-018  -1.1102230246251566E-018  -8.8817841970012525E-018
   2.2204460492503131E-018  -1.1102230246251566E-018   8.8817841970012525E-018
   1.7208456881689926E-017   3.3306690738754695E-018  -2.2204460492503131E-018
   4.4408920985006263E-018  -1.4432899320127036E-017   4.4408920985006263E-018
   2.2759572004815708E-017   1.6653345369377347E-017  -8.8817841970012525E-018
  -1.6653345369377347E-018  -1.2212453270876722E-017  -1.1102230246251566E-017
  -1.6653345369377347E-018  -1.2212453270876722E-017  -1.1102230246251566E-017
  -1.6653345369377347E-018  -1.2212453270876722E-017  -1.1102230246251566E-017
  -1.6653345369377347E-018   5.5511151231257830E-018  -2.2204460492503131E-018
  -1.6653345369377347E-018   5.5511151231257830E-018  -2.2204460492503131E-018
  -3.3306690738754695E-018   3.3306690738754695E-018   1.9984014443252817E-017
  -2.7755575615628915E-018   1.7763568394002505E-017   0.0000000000000000     
  -2.7755575615628915E-018   1.7763568394002505E-017   0.0000000000000000     
  -2.7755575615628915E-018   1.7763568394002505E-017   0.0000000000000000     
  -2.7755575615628915E-018   0.0000000000000000        0.0000000000000000     
  -2.7755575615628915E-018   0.0000000000000000        0.0000000000000000     
   0.0000000000000000        1.8873791418627663E-017   0.0000000000000000     
  -1.9984014443252817E-017  -3.3306690738754695E-017  -1.9984014443252817E-017
   1.7530363282964450E-018  -1.5618779327600947E-017   3.0621257482779660E-017
  -4.9376085959127005E-018   4.0640572173950001E-018  -1.3032229653281986E-017
  -3.9007107940280575E-018   3.2106052079665846E-018  -1.0295461432007111E-017
  -3.0815615261964908E-018   2.5363781199391094E-018   9.6301538614761166E-018
  -2.4344336174308525E-018   2.0037387143176264E-018  -1.0155746846331505E-017
   6.9585816462102149E-018   1.5829535786654172E-018   9.7405283963194002E-018
  -3.3845046930210236E-018   1.2505333188945531E-018  -1.0068550975179045E-017
  -2.6737587131527960E-018   9.8792132496658560E-019   9.8094131232801880E-018
  -2.1122693818914438E-018   7.8045786159217422E-019  -1.0014132032401421E-017
   7.2130913863926860E-018  -1.7147006674162982E-017   9.8524040985383440E-018
  -3.1834420028573842E-018   4.2174331024092737E-018  -9.9801691669105599E-018
  -2.5149191874892512E-018   3.3317721481736305E-018   9.8792347563617828E-018
  -1.9867861646512349E-018   2.6320999980911438E-018  -9.9589729408193945E-018
   7.3122231284363805E-018   2.0793589930946501E-018   9.8959797746842919E-018
  -3.1051279359693266E-018   1.6426936026836172E-018  -9.9457443872220384E-018
  -2.4530510583315478E-018   1.2977279453755951E-018   9.9064303290483518E-018
   6.9438738672369215E-018   1.0252050786665174E-018  -9.9374884464206566E-018
  -3.3961238612711298E-018   8.0991199717457973E-019   9.9129525282371440E-018
  -2.6829378412845263E-018  -8.2419537148906364E-018  -9.9323359052978385E-018
  -2.1195208948525904E-018   2.3706407692686849E-018   9.9170230344006803E-018
   7.2073626798520262E-018   1.8728061956040653E-018  -9.9291201910357030E-018
  -3.1879676827305664E-018   1.4795168847251213E-018   9.9195634466825347E-018
  -2.5184944513142703E-018   1.1688183402770142E-018  -9.9271132730258177E-018
  -1.9896106193817070E-018   9.2336648526196460E-019   9.9211489037626160E-018
   7.3099918159718499E-018   7.2945955052983517E-019  -9.9258607685499987E-018
  -3.1068906630245560E-018  -1.7187295368233167E-017   9.9221384061626729E-018
   2.3259060136306266E-017  -8.3503401211316488E-018   1.9684247274647285E-017
   2.2978881398699375E-017  -4.5667651568645444E-017  -1.2037349383967036E-017
