    x-direction              y-direction               z-direction
  -3.7886360715333467E-017   1.1102230246251566E-017  -4.1078251911130792E-017
  -2.9143354396410358E-018   2.2204460492503131E-018  -5.5511151231257828E-019
  -5.2874371547773081E-017   3.1086244689504386E-017   1.6098233857064769E-017
  -4.1217029789208939E-017   1.1102230246251566E-017  -2.8310687127941492E-017
  -7.8409501114151686E-017  -8.8817841970012525E-018  -1.5543122344752193E-017
  -5.7176485768195563E-017   1.9984014443252817E-017   9.9920072216264085E-018
  -6.8001160258290843E-017   0.0000000000000000        5.5511151231257830E-018
  -2.4424906541753444E-017   0.0000000000000000       -8.8817841970012525E-018
  -3.6914915568786457E-017   1.5543122344752193E-017   2.5535129566378602E-017
  -5.2735593669694933E-017   0.0000000000000000       -1.4988010832439614E-017
  -2.1094237467877975E-017   1.1102230246251566E-017   4.3298697960381107E-017
  -4.5657921887709563E-017   2.8865798640254071E-017   3.8857805861880483E-018
  -3.1363800445660669E-017   1.9984014443252817E-017  -4.4408920985006263E-018
  -3.4694469519536142E-018   4.2188474935755949E-017   4.4408920985006263E-018
  -1.7486012637846216E-017   8.8817841970012525E-018   1.6653345369377347E-017
  -1.0588752097362430E-016   1.5543122344752193E-017   3.9968028886505634E-017
  -2.0122792321330962E-017   3.5527136788005010E-017   5.4956039718945248E-017
  -6.5641936330962386E-017   5.9952043329758457E-017   2.1649348980190553E-017
  -3.4139358007223563E-017   4.6629367034256573E-017   2.8310687127941492E-017
  -2.9559688030644791E-017   1.9984014443252817E-017   4.7184478546569152E-017
  -2.1649348980190553E-017   7.3274719625260335E-017   2.1649348980190553E-017
  -3.9551695252271203E-017   5.7731597280508142E-017   1.2767564783189301E-017
  -3.2890357104520264E-017   8.6597395920762213E-017   4.0523140398818213E-017
  -5.8286708792820721E-017   5.7731597280508142E-017   2.9976021664879229E-017
  -5.0931481254679055E-017   3.9968028886505634E-017   1.1102230246251566E-017
  -6.1062266354383610E-018   4.4408920985006264E-017   4.7184478546569152E-017
  -2.7755575615628914E-017   5.9952043329758457E-017   2.1094237467877975E-017
  -6.3005156647477634E-017   3.3306690738754695E-017   3.4972025275692431E-017
  -1.3183898417423733E-017   5.9952043329758457E-017   4.9960036108132046E-017
  -2.0955459589799830E-017   6.2172489379008772E-017   2.3869795029440865E-017
  -6.5503158452884232E-017   7.3274719625260335E-017   4.4964032497318843E-017
  -3.8302694349567898E-017   8.4376949871511898E-017   4.9960036108132046E-017
  -4.3576253716537396E-017   5.5511151231257827E-017   4.1633363423443370E-017
  -9.5895513751997898E-017   2.6645352591003756E-017   8.3266726846886737E-018
  -2.5812685322534891E-017   7.7715611723760953E-017   2.2759572004815708E-017
  -6.6474603599431248E-017   5.9952043329758457E-017   4.4408920985006264E-017
  -7.7160500211448374E-017   4.8849813083506888E-017   3.3861802251067274E-017
  -6.0229599085914740E-017   8.6597395920762213E-017   2.6090241078691177E-017
  -4.4825254619240695E-017   7.3274719625260335E-017   2.7755575615628914E-017
  -3.3167912860676553E-017   4.6629367034256573E-017  -1.6653345369377347E-017
  -7.0776717819853725E-017   9.9920072216264091E-017   9.9920072216264085E-018
  -5.0515147620444624E-017   1.1102230246251565E-016   2.6090241078691177E-017
  -7.7299278089526528E-017   6.4392935428259075E-017   2.1649348980190553E-017
  -4.5380366131553274E-017   9.9920072216264091E-017  -2.8865798640254071E-017
  -5.2180482157382354E-017   9.1038288019262831E-017   2.8865798640254071E-017
  -4.6768144912334721E-017   7.9936057773011268E-017  -3.3306690738754695E-018
  -6.2727600891321339E-017   6.8833827526759705E-017  -6.6613381477509390E-018
  -3.9690473130349345E-017   4.6629367034256573E-017  -1.6653345369377347E-017
  -8.0352391407245705E-017   7.9936057773011268E-017  -4.6074255521943994E-017
  -4.5380366131553274E-017   4.4408920985006264E-017  -3.1086244689504386E-017
  -5.2180482157382354E-017   7.9936057773011268E-017  -1.7763568394002505E-017
  -9.3397511946591300E-017   2.4424906541753444E-017  -3.8857805861880476E-017
  -8.5903506530371493E-017   1.9984014443252817E-017  -8.8817841970012525E-018
  -7.4940054162198071E-017   1.3322676295501878E-017  -1.3322676295501878E-017
  -8.2434059578417879E-017   4.4408920985006264E-017  -3.6637359812630168E-017
  -1.6098233857064769E-017   5.7731597280508142E-017  -4.9404924595819467E-017
  -9.9503738582029654E-017   4.6629367034256573E-017  -1.7208456881689926E-017
