8.772  	 1.015  	 1.026 	  1.834 	  1.937 	  0.267 	  -0.626 	  -0.579 	  0.815  	 1.967 
14.431  	 0.965  	 1.012 	  1.598 	  1.997 	  -0.098 	  -0.152 	  -0.777 	  0.923  	 1.980 
28.840  	 0.971  	 0.975 	  1.698 	  2.983 	  -0.613 	  0.499 	  -0.601 	  -0.891  	 1.985 
14.771  	 0.968  	 1.033 	  1.769 	  1.813 	  -0.266 	  0.277 	  -0.758 	  0.955  	 1.973 
6.030  	 0.951  	 1.033 	  1.764 	  2.245 	  -0.457 	  -0.102 	  0.779 	  0.167  	 1.975 
13.269  	 1.028  	 1.047 	  1.617 	  1.853 	  -0.392 	  -0.563 	  0.791 	  0.255  	 1.958 
24.858  	 0.978  	 0.993 	  1.716 	  3.092 	  -0.015 	  -0.315 	  -0.191 	  0.320  	 1.981 
3.254  	 1.007  	 1.025 	  1.599 	  1.942 	  -0.696 	  0.826 	  -0.398 	  -0.199  	 1.970 
8.240  	 0.960  	 1.062 	  1.539 	  1.885 	  0.795 	  0.251 	  0.133 	  -0.833  	 1.965 
6.213  	 0.978  	 1.003 	  1.741 	  2.547 	  0.937 	  0.026 	  -0.535 	  -0.509  	 1.979 
22.762  	 1.010  	 1.010 	  1.747 	  1.860 	  0.422 	  0.721 	  -0.955 	  0.039  	 1.972 
20.031  	 0.986  	 0.992 	  1.787 	  1.947 	  -0.182 	  -0.874 	  0.540 	  0.270  	 1.980 
24.882  	 1.011  	 1.031 	  1.492 	  1.802 	  0.467 	  0.734 	  -0.929 	  -0.245  	 1.973 
2.901  	 0.926  	 1.077 	  1.649 	  1.851 	  0.370 	  -0.984 	  0.450 	  0.108  	 1.958 
25.333  	 0.972  	 1.052 	  1.767 	  2.045 	  -0.990 	  0.316 	  0.060 	  0.363  	 1.966 
9.068  	 0.963  	 0.986 	  1.776 	  1.978 	  0.589 	  0.211 	  -0.947 	  0.259  	 1.984 
10.238  	 0.955  	 0.982 	  1.748 	  2.835 	  0.105 	  -0.165 	  0.747 	  0.670  	 1.986 
15.794  	 0.957  	 0.977 	  2.121 	  2.376 	  0.712 	  0.068 	  0.029 	  -0.965  	 1.986 
16.329  	 0.986  	 1.014 	  1.601 	  1.977 	  0.887 	  -0.408 	  -0.073 	  -0.546  	 1.976 
12.202  	 0.958  	 0.977 	  1.701 	  1.725 	  0.731 	  -0.674 	  0.372 	  -0.078  	 1.986 
3.145  	 0.945  	 0.984 	  1.702 	  3.009 	  -0.160 	  -0.462 	  -0.264 	  0.941  	 1.986 
15.615  	 0.997  	 1.006 	  1.916 	  1.930 	  0.549 	  -0.941 	  0.228 	  0.127  	 1.976 
3.281  	 0.971  	 0.980 	  1.623 	  1.651 	  0.986 	  -0.225 	  -0.419 	  -0.434  	 1.985 
19.221  	 0.980  	 0.990 	  1.622 	  1.927 	  0.458 	  0.457 	  -0.894 	  -0.243  	 1.982 
14.964  	 1.003  	 1.013 	  1.625 	  1.767 	  0.737 	  0.378 	  -0.098 	  -0.960  	 1.973 
23.235  	 0.967  	 1.014 	  2.240 	  2.525 	  0.403 	  -0.774 	  0.475 	  -0.662  	 1.978 
12.663  	 1.013  	 1.075 	  1.586 	  1.668 	  0.828 	  -0.785 	  0.128 	  -0.001  	 1.949 
26.558  	 0.961  	 0.980 	  1.826 	  2.288 	  0.821 	  -0.317 	  -0.659 	  -0.185  	 1.985 
25.594  	 0.965  	 0.982 	  1.786 	  2.166 	  0.719 	  -0.346 	  -0.751 	  0.217  	 1.985 
5.642  	 0.978  	 0.989 	  1.678 	  2.120 	  0.222 	  0.686 	  0.168 	  -0.741  	 1.982 
10.031  	 0.985  	 1.055 	  1.570 	  2.527 	  0.668 	  0.480 	  -0.852 	  -0.404  	 1.964 
4.330  	 0.952  	 0.986 	  1.709 	  2.585 	  -0.405 	  0.900 	  -0.409 	  0.002  	 1.985 
12.573  	 0.951  	 1.007 	  1.697 	  1.845 	  0.650 	  -0.425 	  0.676 	  -0.724  	 1.982 
18.887  	 1.019  	 1.077 	  1.706 	  1.924 	  -0.767 	  0.077 	  -0.509 	  0.796  	 1.946 
3.015  	 0.995  	 1.012 	  1.713 	  1.780 	  0.085 	  -0.978 	  0.026 	  0.630  	 1.975 
18.666  	 0.979  	 1.029 	  1.670 	  1.740 	  0.945 	  0.084 	  -0.468 	  -0.840  	 1.973 
16.671  	 0.985  	 1.014 	  1.691 	  1.752 	  -0.352 	  0.771 	  0.109 	  -0.755  	 1.976 
7.771  	 0.968  	 1.015 	  1.627 	  1.833 	  -0.010 	  -0.958 	  0.623 	  0.531  	 1.978 
8.629  	 0.982  	 0.998 	  1.912 	  2.148 	  0.388 	  0.060 	  -0.539 	  0.674  	 1.980 
2.276  	 0.982  	 1.041 	  2.472 	  3.082 	  0.264 	  0.338 	  0.719 	  0.234  	 1.969 
11.744  	 0.957  	 1.022 	  1.818 	  2.138 	  0.210 	  -0.763 	  -0.097 	  0.918  	 1.978 
3.268  	 0.950  	 0.987 	  1.700 	  2.271 	  -0.286 	  0.998 	  -0.431 	  -0.121  	 1.985 
22.671  	 0.963  	 0.979 	  1.567 	  1.821 	  0.224 	  -0.501 	  -0.716 	  0.987  	 1.986 
7.789  	 0.988  	 1.017 	  1.732 	  1.742 	  -0.390 	  0.889 	  0.291 	  -0.651  	 1.975 
25.460  	 1.001  	 1.022 	  1.696 	  2.201 	  -0.990 	  0.421 	  0.425 	  0.457  	 1.971 
17.959  	 0.996  	 1.045 	  1.919 	  2.666 	  0.075 	  -0.532 	  0.628 	  0.028  	 1.965 
12.651  	 0.972  	 0.977 	  1.676 	  2.690 	  -0.471 	  0.775 	  -0.268 	  0.333  	 1.984 
8.173  	 1.000  	 1.001 	  1.588 	  1.828 	  -0.651 	  -0.427 	  0.210 	  0.945  	 1.977 
4.747  	 0.982  	 1.026 	  1.813 	  2.777 	  -0.396 	  -0.595 	  0.468 	  -0.250  	 1.973 
4.039  	 0.971  	 0.975 	  1.516 	  1.746 	  0.015 	  -0.405 	  0.979 	  -0.572  	 1.988 
20.640  	 0.971  	 0.991 	  1.836 	  1.956 	  0.388 	  0.695 	  -0.527 	  -0.464  	 1.982 
19.110  	 0.989  	 0.994 	  1.783 	  2.676 	  -0.831 	  0.017 	  -0.078 	  0.908  	 1.980 
6.547  	 1.051  	 1.063 	  1.663 	  1.738 	  0.247 	  -0.964 	  0.396 	  0.641  	 1.943 
21.311  	 0.955  	 1.031 	  1.655 	  1.757 	  -0.933 	  -0.027 	  0.262 	  0.644  	 1.975 
24.406  	 1.029  	 1.032 	  1.788 	  1.803 	  -0.804 	  0.033 	  0.474 	  -0.079  	 1.962 
2.346  	 1.006  	 1.009 	  2.272 	  2.917 	  0.691 	  0.266 	  0.285 	  0.118  	 1.974 
6.614  	 0.965  	 0.971 	  1.858 	  1.981 	  0.843 	  -0.713 	  -0.164 	  -0.148  	 1.986 
13.707  	 0.978  	 1.006 	  1.714 	  2.334 	  -0.843 	  -0.159 	  0.267 	  0.946  	 1.979 
8.348  	 0.978  	 1.053 	  1.766 	  1.921 	  0.356 	  -0.652 	  0.316 	  0.773  	 1.965 
14.340  	 0.982  	 1.052 	  1.566 	  1.946 	  -0.609 	  -0.634 	  0.520 	  0.877  	 1.966 
25.142  	 1.008  	 1.013 	  1.831 	  1.852 	  -0.271 	  -0.831 	  0.604 	  0.283  	 1.972 
16.852  	 0.978  	 1.020 	  1.579 	  1.800 	  0.741 	  0.283 	  -0.509 	  -0.682  	 1.976 
25.368  	 0.942  	 1.049 	  1.754 	  1.940 	  0.359 	  0.456 	  -0.839 	  -0.271  	 1.970 
26.564  	 0.967  	 1.006 	  1.913 	  2.122 	  -0.547 	  0.569 	  -0.448 	  0.167  	 1.980 
25.189  	 1.003  	 1.016 	  1.962 	  1.986 	  0.248 	  -0.885 	  -0.045 	  0.551  	 1.972 
10.657  	 0.974  	 0.994 	  1.840 	  1.845 	  0.595 	  0.495 	  -0.898 	  -0.168  	 1.982 
19.048  	 0.955  	 1.025 	  1.699 	  1.963 	  -0.709 	  0.265 	  -0.038 	  0.773  	 1.977 
6.050  	 0.962  	 0.978 	  1.622 	  1.916 	  -0.863 	  -0.161 	  0.490 	  -0.100  	 1.986 
5.930  	 0.989  	 1.020 	  1.625 	  1.745 	  0.748 	  -0.860 	  0.422 	  0.177  	 1.974 
3.245  	 1.032  	 1.034 	  1.685 	  1.954 	  -0.961 	  -0.002 	  0.103 	  0.558  	 1.960 
5.451  	 0.972  	 1.032 	  1.720 	  1.861 	  -0.175 	  -0.728 	  0.783 	  0.282  	 1.973 
21.194  	 0.962  	 1.023 	  1.558 	  1.688 	  -0.979 	  0.406 	  0.057 	  -0.121  	 1.978 
11.586  	 0.947  	 1.013 	  1.483 	  1.863 	  -0.265 	  -0.275 	  -0.295 	  0.871  	 1.989 
12.865  	 0.962  	 1.037 	  1.618 	  1.766 	  -0.449 	  0.975 	  -0.404 	  -0.057  	 1.973 
9.559  	 1.008  	 1.048 	  1.704 	  1.832 	  -0.174 	  -0.754 	  0.796 	  -0.154  	 1.962 
